a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,4,72,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,4,72,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,4,72,3
0.1,4.827012502014578,0.4392244855153728,0.16178549736197073,True,2100.021240234375,6,72,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,6,72,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,6,72,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,6,72,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,6,72,3
0.1,4.776605547993554,0.4503637144349133,0.16178549736197073,True,2074.4248046875,8,72,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,8,72,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,8,72,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,8,72,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,8,72,3
0.1,4.754948425861499,0.46031815517561736,0.16178549736197073,True,2064.00244140625,10,72,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,10,72,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,10,72,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,10,72,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,10,72,3
0.1,4.6100114186984325,0.4379501156987623,0.28231080866430863,True,1621.4090576171875,10,8,0
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,10,8,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,10,8,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,10,8,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,10,8,3
0.1,4.643461891527213,0.4423104778828519,0.28231080866430863,True,1690.846923828125,10,16,0
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,10,16,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,10,16,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,10,16,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,10,16,3
0.1,4.76247376838099,0.4516212656232271,0.28231080866430863,True,1955.341552734375,10,32,0
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,10,32,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,10,32,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,10,32,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,10,32,3
0.1,4.749187864178639,0.45034510771156755,0.28231080866430863,True,1986.211181640625,10,48,0
0.1,4.736474500908736,4.736474500908736,0.28231080866430863,False,2104.41650390625,10,48,0
0.1,4.731879594493572,4.731879594493572,0.28231080866430863,False,1893.4215087890625,10,48,1
0.1,4.665278518079251,4.665278518079251,0.28231080866430863,False,1917.173095703125,10,48,2
0.1,4.749404947654104,4.749404947654104,0.28231080866430863,False,1911.9454345703125,10,48,3
0.1,4.743647193036931,0.44982271632091364,0.28231080866430863,True,1990.3096923828125,10,64,0
